material_name,current_stock,unit,expiry_date,cost_per_unit,minimum_stock_level,days_until_expiry
Chicken Breast,78,kg,2025-09-30 23:39:08.538641,10.820075650638648,8,0
Beef Tenderloin,34,kg,2025-10-05 23:39:08.538641,33.17957199147964,7,5
Mixed Vegetables,37,kg,2025-10-11 23:39:08.538641,27.434457023753595,16,11
Pasta,18,pieces,2025-10-01 23:39:08.538641,13.171923521673364,17,1
Fish Fillet,26,kg,2025-10-09 23:39:08.538641,7.287185740100753,7,9
Tomato Sauce,71,pieces,2025-10-13 23:39:08.538641,11.280991921497042,17,13
Olive Oil,79,pieces,2025-10-02 23:39:08.538641,14.561001260634416,15,2
Onions,20,pieces,2025-10-13 23:39:08.539643,49.507270297228175,17,13
Garlic,63,pieces,2025-10-04 23:39:08.539643,6.2612986951851575,10,4
Salt,63,pieces,2025-10-07 23:39:08.539643,17.781064264303808,12,7
Pepper,25,pieces,2025-10-12 23:39:08.539643,10.783605699034087,19,12
Herbs,84,pieces,2025-10-13 23:39:08.539643,41.869474573399664,7,13
