date,dish_name,quantity_sold,checkout_price,base_price,emailer_for_promotion,homepage_featured,category,cuisine
2022-01-03,Beverages_Continental,74463,320.266334841629,349.90728506787326,1,1,Beverages,Continental
2022-01-03,Beverages_Indian,12997,263.8405882352941,303.24073529411766,0,1,Beverages,Indian
2022-01-03,Beverages_Italian,96898,181.0964069264069,187.37896103896105,0,1,Beverages,Italian
2022-01-03,Beverages_Thai,138024,125.10108225108226,125.87753246753246,0,1,Beverages,Thai
2022-01-03,Biryani_Indian,8309,424.92017142857145,470.9657142857143,0,1,Biryani,Indian
2022-01-03,Desert_Indian,16095,468.3370476190476,470.24138095238095,1,1,Desert,Indian
2022-01-03,Extras_Thai,30651,166.9331914893617,197.8090425531915,0,1,Extras,Thai
2022-01-03,Other Snacks_Thai,34302,242.17161616161619,261.74752525252524,0,1,Other Snacks,Thai
2022-01-03,Pasta_Italian,18720,371.9193396226415,401.67533018867925,0,1,Pasta,Italian
2022-01-03,Pizza_Continental,60999,582.5720779220779,611.3451948051948,1,1,Pizza,Continental
2022-01-03,Rice Bowl_Indian,137916,325.82493506493506,336.5179220779221,1,1,Rice Bowl,Indian
2022-01-03,Sandwich_Italian,113218,282.86234782608693,297.2416956521739,1,1,Sandwich,Italian
2022-01-03,Seafood_Continental,10558,642.3876506024096,645.6415060240964,0,1,Seafood,Continental
2022-01-03,Soup_Thai,5070,244.07746835443038,267.5278481012658,0,0,Soup,Thai
2022-01-03,Starters_Thai,34041,260.56636363636363,260.45153110047846,0,1,Starters,Thai
2022-01-10,Beverages_Continental,69914,320.06391891891894,349.30252252252257,0,1,Beverages,Continental
2022-01-10,Beverages_Indian,49435,173.10004926108374,295.16758620689654,1,1,Beverages,Indian
2022-01-10,Beverages_Italian,90838,184.5345652173913,190.9891304347826,0,0,Beverages,Italian
2022-01-10,Beverages_Thai,171415,114.41428571428571,125.7960606060606,1,1,Beverages,Thai
2022-01-10,Biryani_Indian,6638,426.01974842767294,470.4790566037736,0,0,Biryani,Indian
2022-01-10,Desert_Indian,11506,467.05886699507386,468.8949753694581,1,1,Desert,Indian
2022-01-10,Extras_Thai,29102,174.89301075268818,200.41580645161292,0,1,Extras,Thai
2022-01-10,Other Snacks_Thai,34621,241.58719387755104,261.05867346938777,0,1,Other Snacks,Thai
2022-01-10,Pasta_Italian,17741,373.2524401913875,396.77799043062197,0,1,Pasta,Italian
2022-01-10,Pizza_Continental,53729,581.8553913043478,611.2635217391304,1,1,Pizza,Continental
2022-01-10,Rice Bowl_Indian,109530,331.32269565217393,339.95978260869566,1,1,Rice Bowl,Indian
2022-01-10,Sandwich_Italian,94048,285.96554585152836,299.9178165938864,1,1,Sandwich,Italian
2022-01-10,Seafood_Continental,9927,644.8829761904761,644.8468452380953,0,1,Seafood,Continental
2022-01-10,Soup_Thai,4813,243.53475609756094,265.66060975609753,0,0,Soup,Thai
2022-01-10,Starters_Thai,33827,260.772654028436,260.772654028436,0,0,Starters,Thai
2022-01-17,Beverages_Continental,58444,320.8341441441442,349.5832432432432,1,1,Beverages,Continental
2022-01-17,Beverages_Indian,30786,174.03597014925376,295.37482587064676,0,1,Beverages,Indian
2022-01-17,Beverages_Italian,96811,184.41242424242424,190.94181818181818,0,1,Beverages,Italian
2022-01-17,Beverages_Thai,146118,114.50895652173914,125.9545652173913,0,1,Beverages,Thai
2022-01-17,Biryani_Indian,6930,427.0091616766467,470.88227544910177,0,0,Biryani,Indian
2022-01-17,Desert_Indian,10853,467.81278606965174,468.6976119402985,0,1,Desert,Indian
2022-01-17,Extras_Thai,29833,165.39903225806452,197.89172043010754,0,1,Extras,Thai
2022-01-17,Other Snacks_Thai,33038,241.5485929648241,261.71155778894473,0,1,Other Snacks,Thai
2022-01-17,Pasta_Italian,18425,374.0150952380952,395.40866666666665,0,1,Pasta,Italian
2022-01-17,Pizza_Continental,29590,610.2674889867842,610.623524229075,0,1,Pizza,Continental
2022-01-17,Rice Bowl_Indian,101579,348.0184415584415,347.9912554112554,0,1,Rice Bowl,Indian
2022-01-17,Sandwich_Italian,82063,299.7084782608695,300.26186956521735,0,1,Sandwich,Italian
2022-01-17,Seafood_Continental,9943,644.3194610778444,646.2632934131736,0,1,Seafood,Continental
2022-01-17,Soup_Thai,4551,243.56695121951222,265.87731707317073,0,0,Soup,Thai
2022-01-17,Starters_Thai,36298,243.5260576923077,260.3151442307692,0,0,Starters,Thai
2022-01-24,Beverages_Continental,67660,320.1443891402715,350.00864253393667,0,1,Beverages,Continental
2022-01-24,Beverages_Indian,27716,176.56010050251257,296.0931155778894,0,1,Beverages,Indian
